task,subject,session,variant,BA,macro_F1,NLL,trials,label
OpenBMI_MI,12,S2,RANDOM_BASIS_3,0.72,0.7198879551820728,0.5924851894378662,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S2,RANDOM_BASIS_4,0.72,0.7198879551820728,0.5920878052711487,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,BASELINE,0.74,0.74,0.5345353484153748,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,PCA_POSITIVE_ONLY_ROUTING,0.71,0.7099709970997099,0.5345661044120789,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,SHUFFLED_UTILITY_ROUTING,0.73,0.72997299729973,0.5356746315956116,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,PCA_SIGNED_UTILITY_ROUTING,0.71,0.7099709970997099,0.5346450209617615,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,RANDOM_BASIS_0,0.75,0.74997499749975,0.5344817042350769,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,RANDOM_BASIS_1,0.75,0.74997499749975,0.5344381928443909,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,RANDOM_BASIS_2,0.75,0.74997499749975,0.5345582365989685,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,RANDOM_BASIS_3,0.75,0.74997499749975,0.5343316197395325,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S2,RANDOM_BASIS_4,0.75,0.74997499749975,0.5345500707626343,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,BASELINE,0.67,0.6659580929243851,0.8415268063545227,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,PCA_POSITIVE_ONLY_ROUTING,0.64,0.6347402597402598,0.8516684174537659,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,SHUFFLED_UTILITY_ROUTING,0.65,0.6457131288591963,0.8407567739486694,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,PCA_SIGNED_UTILITY_ROUTING,0.64,0.6347402597402598,0.8518151640892029,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,RANDOM_BASIS_0,0.67,0.6659580929243851,0.8420153260231018,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,RANDOM_BASIS_1,0.67,0.6659580929243851,0.8414644002914429,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,RANDOM_BASIS_2,0.67,0.6659580929243851,0.8414369225502014,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,RANDOM_BASIS_3,0.67,0.6659580929243851,0.8415061831474304,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S2,RANDOM_BASIS_4,0.67,0.6659580929243851,0.8416627645492554,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S2,BASELINE,0.62,0.6198479391756703,0.6799363493919373,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S2,PCA_POSITIVE_ONLY_ROUTING,0.63,0.62996299629963,0.6862866878509521,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S2,SHUFFLED_UTILITY_ROUTING,0.63,0.62996299629963,0.6852304935455322,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S2,PCA_SIGNED_UTILITY_ROUTING,0.63,0.62996299629963,0.6862838864326477,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S2,RANDOM_BASIS_0,0.62,0.6198479391756703,0.6794449090957642,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S2,RANDOM_BASIS_1,0.62,0.6198479391756703,0.6801133751869202,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S2,RANDOM_BASIS_2,0.62,0.6198479391756703,0.6800221800804138,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S2,RANDOM_BASIS_3,0.62,0.6198479391756703,0.679908275604248,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
